BST Size, # Threads, Sec, Ops/s, Speedup
1.04858e+06, 6, 1.00, 3139000, 0.12
1.04858e+06, 7, 1.00, 2808000, 0.11
1.04858e+06, 8, 1.00, 2462000, 0.09
1.04858e+06, 9, 1.00, 2487000, 0.09
1.04858e+06, 10, 1.00, 2649000, 0.10
1.04858e+06, 11, 1.00, 2702000, 0.10
1.04858e+06, 12, 1.00, 2784000, 0.11
1.04858e+06, 13, 1.00, 2904000, 0.11
1.04858e+06, 14, 1.00, 2986000, 0.11
1.04858e+06, 15, 1.00, 2900000, 0.11
1.04858e+06, 16, 1.00, 3145000, 0.12
1.04858e+06, 17, 1.00, 3006000, 0.11
1.04858e+06, 18, 1.00, 3023000, 0.12
1.04858e+06, 19, 1.00, 2792000, 0.11
1.04858e+06, 20, 1.00, 2822000, 0.11
1.04858e+06, 21, 1.00, 2856000, 0.11
1.04858e+06, 22, 1.00, 2713000, 0.10
1.04858e+06, 23, 1.00, 2260000, 0.09
1.04858e+06, 24, 1.00, 2363000, 0.09
1.04858e+06, 25, 1.00, 2228000, 0.08
1.04858e+06, 26, 1.00, 2288000, 0.09
1.04858e+06, 27, 1.01, 2109000, 0.08
1.04858e+06, 28, 1.00, 2495000, 0.10
1.04858e+06, 29, 1.00, 2031000, 0.08
1.04858e+06, 30, 1.00, 2201000, 0.08
1.04858e+06, 31, 1.00, 1834000, 0.07
1.04858e+06, 32, 1.00, 2047000, 0.08
